,Abbreviation,FullForm
126,asaik ,as soon as I know
127,asap ,as soon as possible
128,asarbambtaa ,All submissions are reviewed by a moderator before they are added.
129,asbmaetp ,Acronyms should be memorable and easy to pronounce
130,ase ,"age, sex, ethnicity"
131,asf ,and so forth
132,ashl ,a**h**e
133,ashole ,a**h**e
134,asic ,application specific integrated circuit
135,asl ,"age, sex, location"
136,asln ,"age, sex, location, name"
137,aslo ,age sex location orientation
138,aslop ,Age Sex Location Orientation Picture
139,aslp ,"age, sex, location, picture"
140,aslr ,age sex location race
141,aslrp ,"age, sex, location, race, picture"
142,asr ,age sex race
143,asshle ,a**h**e
144,atab ,Ain't That A b***h 
145,atb ,all the best
146,atfp ,answer the f**king phone
147,atl ,atlanta
148,atm ,at the moment
149,ato ,against the odds
150,atop ,at time of posting
151,atp ,answer the phone
152,atq ,answer the question
153,atst ,At the same time
154,attn ,attention
155,attotp ,At The Time Of This Post
156,atw ,All the way
157,aty ,according to you
158,audy ,Are you done yet?
159,aufm ,are you f**king mental
160,aufsm ,are you f**king shiting me
161,aup ,acceptable use policy
162,aupi ,and your point is
163,av7x ,avenged sevenfold
164,avgn ,Angry Video Game Nerd
165,avie ,Avatar
166,avsb ,a very special boy
167,avtr ,avatar
168,avvie ,avatar
169,avy ,Avatar
170,awb ,Acquaintance with benefits
171,awes ,awesome
172,awk ,awkward
173,awol ,absent without leave
174,awsic ,and why should i care
175,awsm ,awesome
176,awsome ,awesome
177,awty ,are we there yet
178,ayagob ,are you a girl or boy
179,ayb ,All Your Base
180,aybab2m ,all your base are belong 2 me
181,aybab2u ,All your base are belong to us
182,aybabtg ,All Your Base Are Belong To Google
183,aybabtu ,all your base are belong to us
184,ayc ,awaiting your comments
185,ayd ,are you done
186,aydy ,are you done yet
187,ayec ,at your earliest convenience
188,ayfk ,are you f**king kidding
189,ayfkm ,are you f**king kidding me
190,ayfr ,are you for real
191,ayfs ,Are You f**king Serious
192,ayk ,are you kidding
193,aykm ,are you kidding me
194,ayl ,are you listening
195,aymf ,are you my friend
196,ayok ,are you okay
197,aypi ,And Your Point Is
198,aypi ,and your point is
199,ayrft ,Are you ready for Tomorrow 
200,ays ,are you serious
201,aysm ,are you shitting me?
202,ayst ,are you still there
203,ayt ,are you there
204,ayte ,alright
205,aytf ,are you there f**ker
206,ayty ,are you there yet
207,ayw ,as you wish
208,azhol ,a**h**e
209,azn ,asian
210,azz ,ass
211,Ya'll ,You all
212, bi ,bye
213,b& ,banned
214,b'day ,birthday
215,b-cuz ,because
216,b-day ,birthday
217,b.f.f. ,best friend forever
218,b.s. ,bulls**t
219,b/c ,because
220,b/cos ,because
221,b/g ,background
222,b/s/l ,Bisexual/Straight/Lesbian
223,b/t ,between
224,b/w ,between
225,b00n ,new person
226,b00t ,boot
227,b0rked ,broken
228,b1tch ,b***h
229,b2b ,business to business
230,b2u ,back to you
231,b2w , Back to work
232,b3 ,be
233,b4 ,before
234,b4n ,bye for now
235,b4u ,before you
236,b4ug ,before you go
237,b4ul ,before you Leave
238,b8 ,bait
239,b82rez ,Batteries
240,b8rez ,Batteries
241,b@ ,banned
242,bab ,Big ass Boobs
243,babi ,baby
244,bae ,before anyone else
245,baf ,bring a friend
246,baggkyko ,"be a good girl, keep your knickers on"
247,bah ,I don't really care
248,bai ,Bye
249,bak ,back
250,bakk ,back
251,balz ,balls
252,bamf ,bad ass mother f**ker
253,bamofo ,b***h ass mother f**ker
254,bau ,back at you
255,bb ,bye bye
256,bb4h ,bros before hoes
257,bb4n ,Bye-bye for now
258,bbbj ,Bare Back Blow Job
259,bbe ,baby
260,bbf ,best boy friend
261,bbfn ,Bye Bye for now
262,bbfs ,best boyfriends
263,bbfu ,be back for you
264,bbg ,baby girl
265,bbi ,Baby
266,bbiab ,be back in a bit
267,bbiaf ,be back in a few
268,bbialb ,Be back in a little bit
269,bbiam ,be back in a minute
270,bbias ,be back in a second
271,bbiaw ,be back in a while
272,bbifs ,be back in a few seconds
273,bbilb ,be back in a little bit
274,bbilfm ,be back in like five minutes
275,bbim ,Be Back In Minute
276,bbk ,"be back, ok?"
277,bbl ,be back later
278,bbl8a ,Be Back Later
279,bblig ,Be back later...i guess
280,bbm ,BlackBerry Messenger
281,bbml ,be back much later
282,bbn ,be back never
283,bbol ,be back online later
284,bbp ,Banned by parents
285,bbq ,be back quick
286,bbrs ,be back really soon
287,bbs ,be back soon
288,bbsts ,be back some time soon
289,bbt ,be back tomorrow
290,bbtn ,be back tonite
291,bbvl ,Be Back Very Later
292,bbw ,be back whenever
293,bbwb ,best buddy with boobs
294,bbwe ,be back whenever
295,bbwl ,be back way later
296,bby ,baby
297,bbz ,babes
298,bc ,because
299,bch ,b***h
300,bck ,back
301,bcnu ,be seeing you
302,bcnul8r ,be seeing you later
303,bcoz ,Because
304,bcurl8 ,Because you're late.
305,bcuz ,because
306,bd ,birthday
307,bday ,birthday
308,bdfl ,Benevolent Dictator For Life
309,be4 ,before
310,beatch ,b***h
311,bebe ,baby
312,becuse ,because
313,becuz ,because
314,beech ,b***h
315,beeoch ,b***h
316,beezy ,b***h
317,beotch ,b***h
318,besos ,kisses
319,bestie ,best friend
320,betch ,b***h
321,betcha ,bet you
322,bettr ,better
323,bewb ,boob
324,bewbs ,boobs
325,bewbz ,boobs
326,bewt ,boot
327,beyatch ,b***h
328,beyotch ,b***h
329,bezzie ,best friend
330,bf ,boyfriend
331,bf's ,boyfriend's
332,bf+gf ,boyfriend and girlfriend
333,bf4e ,best friends for ever
334,bf4eva ,Best Friends forever
335,bf4l ,best friends for life
336,bfam ,brother from another mother
337,bfd ,big f**king deal
338,bfe ,Bum f**k Egypt
339,bff ,best friend forever
340,bffa ,best friends for always
341,bffaa ,Best Friends Forever And Always
342,bffae ,Best Friends Forever And Ever
343,bffaw ,best friends for a while
344,bffe ,Best friends forever
345,bffeae ,Best Friend For Ever And Ever
346,bffene ,Best Friends For Ever And Ever
347,bffl ,best friends for life
348,bffn ,best friends for now
349,bfftddup ,best friends forever till death do us part
350,bfg ,big f**king gun
351,bfh ,b***h from hell
352,bfhd ,big fat hairy deal
353,bfitww ,best friend in the whole world
354,bfn ,bye for now
355,bfs ,Boyfriends
356,bft ,big f**king tits
357,bg ,background
358,bh ,bloody hell
359,bhwu ,back home with you
360,biab ,back in a bit
361,biach ,b***h
362,biaf ,Back In A Few
363,biatch ,b***h
364,bibi ,bye bye
365,bibifn ,bye bye for now
366,bicbw ,but I could be wrong
367,bich ,b***h
368,bigd ,big deal
369,bii ,bye
370,bilf ,brother i'd like to f**k
371,bilu ,baby i love you
372,bion ,Believe it or not.
373,biotch ,b***h
374,bioya ,blow it out your ass
375,bish ,b***h
376,bisly ,but i still love you 
377,bitd ,back in the day
378,bitz ,neighborhood
379,biw ,boss is watching
380,biwm ,bisexual white male
381,biz ,Business
382,bizatch ,b***h
383,bizi ,Busy
384,biznatch ,b***h
385,biznitch ,b***h
386,bizzle ,b***h
387,bj ,blowjob
388,bk ,back
389,bka ,better known as
390,bl ,bad luck
391,bleme ,blog meme
392,bleve ,believe
393,blg ,blog
394,blh ,bored like hell
395,bling-bling ,jewelry
396,blj ,blowjob
397,bljb ,Blowjob
398,blk ,black
399,blkm ,Black Male
400,blnt ,Better Luck Next time
401,blog ,web log
402,blogger ,web logger
403,blu ,blue
404,bm ,Bite Me
405,bm&y ,between you and me
406,bm4l ,best mates for life
407,bma ,best mates always
408,bmay ,between me and you
409,bmf ,be my friend
410,bmfe ,best mates forever
411,bmfl ,best mates for life
412,bmha ,bite my hairy ass
413,bml ,bless my life
414,bmoc ,Big Man On Campus
415,bmttveot ,best mates till the very end of time
416,bmvp ,be my valentine please
417,bn ,been
418,bndm3ovr ,Bend me over
419,bng ,being
420,bnib ,Brand new in Box
421,bnol ,be nice or leave
422,bnr ,banner
423,bo ,body odour
424,boati ,Bend Over And Take It
425,bobfoc ,"Body of Baywatch, Face of Crimewatch"
426,bobw ,Best of Both Worlds
427,boffum ,Both of them
428,bofh ,b*****d operator from hell
429,bogo ,buy one get one
430,bogof ,buy one get one free
431,bogsatt ,bunch of guys sitting around the table
432,bohic ,Bend over here it comes
433,bohica ,"bend over, here it comes again"
434,boi ,boy
435,bol ,Barking Out Loud
436,bonr ,boner
437,boomm ,bored out of my mind
438,bord ,bored
439,bos ,boss over shoulder
440,botoh ,but on the other hand
441,bout ,about
442,bovered ,bothered
443,bowt ,about
444,boxor ,box
445,bpot ,big pair of tits
446,br ,bathroom
447,brah ,brother
448,brb ,be right back
449,brbbrb ,br right back bath room break
450,brbf ,Be Right Back f**ker
451,brbg2p ,"be right back, got to pee"
452,brbigtp ,"be right back, i got to pee."
453,brbl ,be right back later
454,brbmf ,be right back mother f**ker
455,brbn2gbr ,"Be right back, I need to go to the bathroom"
456,brbs ,be right back soon
457,brbts ,be right back taking s**t
458,brd ,bored
459,brfb ,be right f**king back
460,brgds ,best regards
461,brh ,be right here
462,brk ,Break
463,bro ,brother
464,bros ,brothers
465,broseph ,brother
466,brover ,Brother
467,brt ,be right there
468,bruh ,brother
469,bruhh ,Brother
470,bruv ,brother
471,bruva ,brother
472,bruz ,brothers
473,bs ,bulls**t
474,bsmfh ,b*****d System Manager From Hell
475,bsod ,blue screen of death
476,bsomn ,blowing stuff out my nose
477,bstfu ,b***h shut the f**k up
478,bstrd ,b*****d
479,bsx ,bisexual
480,bsxc ,be sexy
481,bt ,bit torrent
482,btb ,by the by
483,btch ,b***h
484,btcn ,Better than Chuck Norris
485,btd ,bored to death
486,btdt ,been there done that
487,btdtgtts ,"Been there, done that, got the T-shirt"
488,btfl ,beautiful
489,btfo ,back the f**k off
490,btfw ,by the f**king way
491,bth ,be totally honest
492,btias ,Be there in a second
493,btm ,bottom
494,btr ,better
495,bts ,be there soon
496,btsoom ,Beats The s**t Out Of Me
497,bttt ,"been there, tried that"
498,bttyl ,be talking to you later
499,btw ,by the way
500,btwilu ,by the way i love you
501,btwitiailwu ,by the way i think i am in love with you
502,btwn ,between
503,bty ,back to you
504,bubar ,bushed up beyond all recognition
505,bubi ,bye
506,budzecks ,butt sex
507,buhbi ,Bye Bye
508,bukket ,bucket
509,bur ,p***y
510,burma ,be undressed ready my angel
511,buszay ,busy
512,but6 ,buttsex
513,butsecks ,butt sex
514,butterface ,every thing is hot but her face
515,buwu ,breaking up with you
516,bw3 ,Buffalo Wild Wings
517,bwim ,by which i mean
518,bwoc ,Big Woman On Campus
519,bwpwap ,back when Pluto was a planet
520,bwt ,but when though
521,byak ,blowing you a kiss
522,byeas ,good-bye
523,byes ,bye bye
524,bykt ,But you knew that
525,byob ,Bring your own Beer
526,byoc ,bring our own computer
527,byoh ,bring your own high
528,byow ,bring your own weed
529,byself ,by myself
530,bytabm ,beat you to a bloody mess
531,bytch ,b***h
532,bz ,busy
533,bzns ,buisness
534,bzy ,busy
535,bzzy ,busy
536,c ,see
537,c 2 c ,cam to cam (webcams)
538,c&c ,Command and Conquer
539,c'mon ,Come On
540,c-p ,sleepy
541,c.y.a ,cover your ass
542,c/b ,comment back
543,c/t ,can't talk
544,c14n ,canonicalization
545,c2 ,come to
546,c2c ,care to chat?
547,c2tc ,cut to the chase
548,c4ashg ,care for a shag
549,c4y ,cool for you
550,c@ ,cat
551,cam ,camera
552,cancer stick ,cigarette
553,catwot ,complete and total waste of time
554,cawk ,c**k
555,cayc ,call at your convenience
556,cb ,come back
557,cba ,can't be arsed
558,cbb ,can't be bothered
559,cbf ,cant be f**ked
560,cbfa ,can't be f**king arsed
561,cbfed ,can't be f**ked
562,cbi ,can't believe it
563,ccl ,Couldn't Care Less
564,ccna ,Cisco Certified Network Associate
565,cd9 ,Code 9 (other people nearby)
566,celly ,cell phone
567,cex ,sex
568,cexy ,sexy
569,cfas ,care for a secret?
570,cfid ,check for identification
571,cfm ,come f**k me
572,cg ,Congratulations
573,cgad ,couldn't give a damn
574,cgaf ,couldn't give a f**k
575,cgf ,cute guy friend
576,ch@ ,chat
577,champs ,champions
578,char ,character
579,cheezburger ,cheeseburger
580,chik ,chick
581,chilax ,chill and relax in one word
582,chillax ,chill and relax
583,chillin ,relaxing
584,chk ,check
585,chohw ,Come Hell or high water
586,chr ,character
587,chronic ,marijuana
588,chswm ,come have sex with me
589,chswmrn ,come have sex with me right now
590,chu ,you
591,chut ,p***y
592,cid ,consider it done
593,cig ,cigarette
594,cigs ,cigarettes
595,cihswu ,can i have sex with you
596,cihyn ,can i have your number
597,cilf ,child i'd like to f**k
598,cing ,seeing
599,cis ,computer information science
600,ciwwaf ,cute is what we aim for
601,cless ,clanless
602,clm ,Cool Like Me
603,clt ,Cool Like That
604,cluebie ,clueless newbie
605,cm ,call me
606,cma ,Cover My Ass
607,cmao ,Crying My Ass Off
608,cmar ,cry me a river
609,cmb ,comment me back
610,cmbo ,combo
611,cmcp ,call my cell phone
612,cmeo ,crying my eyes out
613,cmh ,Call My House
614,cmiiw ,correct me if I'm wrong
615,cmitm ,Call me in the morning
616,cml ,call me later
617,cml8r ,call me later
618,cmliuw2 ,call me later if you want to
619,cmn ,call me now
620,cmomc ,call me on my cell
621,cmon ,Come on
622,cmplcdd ,complicated
623,cmplte ,complete
624,cmptr ,computer
625,cms ,content management system
626,cmt ,comment
627,cmw ,cutting my wrists
628,cn ,can
629,cnc ,Command and Conquer
630,cnt ,can't
631,cob ,close of business
632,cod ,Call of Duty
633,cod4 ,call of duty 4
634,cod5 ,call of duty 5
635,codbo ,Call of Duty: Black Ops
636,codbo2 ,Call of Duty: Black Ops II
637,code 29 ,moderator is watching
638,code 8 ,parents are watching
639,code 9 ,Parents are watching
640,code9 ,other people near by 
641,cof ,Crying on the floor
642,coiwta ,come on i wont tell anyone
643,col ,crying out loud
644,comin' ,coming
645,comnt ,comment
646,comp ,Computer
647,compy ,computer
648,congrats ,congratulations
649,contrib ,contribution
650,contribs ,contributions
651,convo ,conversation
652,coo ,cool
653,cood ,could
654,copyvio ,copyright violation
655,cos ,because
656,cotf ,crying on the floor
657,cotm ,check out this myspace
658,cowboy choker ,cigarette
659,coz ,because
660,cp ,child porn
661,cpl ,Cyber Athlete Professional League
662,cpm ,cost per 1000 impressions
663,cptn ,captain
664,cpu ,computer
665,cpy ,copy
666,cr ,Can't remember
667,cr8 ,crate
668,crakalakin ,happening
669,Cray-cray ,Crazy
670,crazn ,crazy asian
671,cre8or ,creator
672,crm ,customer relationship management
673,crp ,crap
674,crs ,can't remember s**t
675,crunk ,combination of crazy and drunk
676,crzy ,crazy
677,cs ,Counter-Strike
678,css ,Counter-Strike: Source
679,csi ,Crime Scene Investigation
680,cskr ,c**k sucker
681,csl ,can't stop laughing
682,css ,cascading style sheets
683,ct ,can't talk
684,ctc ,call the cell
685,ctf ,capture the flag
686,ctfd ,calm the f**k down
687,ctfo ,chill the f**k out
688,ctfu ,cracking the f**k up
689,ctm ,chuckle to myself
690,ctn ,can't talk now
691,ctnbos ,can't talk now boss over shoulder
692,ctncl ,Can't talk now call later
693,ctpc ,cant talk parent(s) coming
694,ctpos ,Can't Talk Parent Over Sholder
695,ctrl ,control
696,ctrn ,can't talk right now
697,cts ,change the subject
698,ctt ,change the topic
699,cu ,goodbye
700,cu2 ,see you too
701,cu2nit ,see you tonight
702,cu46 ,see you for sex
703,cubi ,can you believe it
704,cud ,could
705,cuic ,see you in class
706,cul ,see you later
707,cul83r ,See you later
708,cul8er ,see you later
709,cul8r ,See You Later
710,cul8tr ,see you later
711,culd ,Could
712,cunt ,vagina
713,cuom ,see you on monday
714,cuple ,couple
715,curn ,calling you right now
716,cut3 ,cute
717,cuwul ,catch up with you later
718,cuz ,because
719,cuzz ,Because
720,cvq ,chucking very quietly
721,cw2cu ,can`t wait to see you
722,cwd ,comment when done
723,cwm ,come with me
724,cwmaos ,coffee with milk and one sugar
725,cwot ,complete waste of time
726,cwtgypo ,can't wait to get your panties off
727,cwyl ,chat with ya later
728,cy2 ,see you too
729,cya ,goodbye
730,cyal ,see you later
731,cyal8r ,see you later
732,cyas ,see you soon
733,cyb ,cyber
734,cybl ,call you back later
735,cybr ,cyber
736,cybseckz ,cyber sex
737,cye ,Close Your Eyes
738,cyff ,"change your font, f**ker"
739,cyl ,see you later
740,"cyl,a ","see ya later, alligator"
741,cyl8 ,see you later
742,cyl8er ,see you later
743,cylbd ,catch ya later baby doll
744,cylor ,check your local orhtodox rabbi
745,cym ,check your mail
746,cyntott ,see you next time on Tech Today
747,cyt ,see you tomorrow
748,cyu ,see you
749,c|n>k ,coffee through nose into keyboard
750,Icydci ,In case you didn't catch it
751,d&c ,divide and conquer
752,d&df ,drug & disease free
753,d.t.f ,down to f**k
754,d.w ,don't worry
755,d/c ,disconnected
756,d/l ,download
757,d/m ,Doesn't Matter
758,d/w ,don't worry
759,d00d ,dude
760,d1ck ,d**k
761,d2 ,Diablo 2
762,d2m ,dead to me
763,d2t ,drink to that
764,d8 ,date
765,da ,the
766,da2 ,Dragon Age 2
767,dadt ,Don't ask. Don't tell.
768,dafs ,do a f**king search
769,dafuq ,What the f**k
770,dah ,dumb as hell
771,daii ,day
772,damhik ,don't ask me how I know
773,damhikijk ,Don't Ask Me How I Know - I Just Know
774,damhikt ,don't ask me how I know this
775,dass ,dumb ass
776,dat ,that
777,dats ,that's
778,dawg ,Friend
779,dayum ,damn
780,dayumm ,damn
781,db ,database
782,db4l ,drinking buddy for life
783,dbab ,don't be a b***h
784,dbafwtt ,Don't Be A Fool Wrap The Tool
785,dbag ,d****ebag
786,dbeyr ,don't believe everything you read
787,dbg ,don't be gay
788,dbh ,don't be hating
789,dbi ,Don't Beg It
790,dbm ,don't bother me
791,dbz ,DragonBall Z
792,dc ,don't care
793,dc'd ,disconnected
794,dctnry ,dictionary
795,dcw ,Doing Class Work
796,dd ,don't die
797,ddf ,Drug and Disease Free
798,ddg ,Drop Dead Gorgeous
799,ddl ,direct download
800,ddos ,Distributed Denial of Service
801,ddr ,dance dance revolution
802,ddt ,Don't do that
803,ded ,Dead
804,deets ,details
805,deez ,these
806,def ,definitely
807,defs ,definetly
808,degmt ,Don't Even Give Me That
809,dem ,them
810,der ,there
811,dernoe ,I don't know
812,detai ,don't even think about it
813,dewd ,Dude
814,dey ,they
815,df ,Dumb f**k
816,dfc ,DON'T f**kING CARE
817,dfo ,dumb f**king operator
818,dftba ,don't forget to be awesome
819,dftc ,down for the count
820,dfu ,don't f**k up
821,dfw ,down for whatever
822,dfw/m ,Don't f**k with Me
823,dfwm ,Don't f**k with Me
824,dfwmt ,Don't f**king waste my time
825,dg ,don't go
826,dga ,don't go anywhere
827,dgac ,don't give a crap
828,dgaf ,don't give a f**k
829,dgara ,don't give a rats ass
830,dgas ,Don't give a s**t
831,dgms ,Don't get me started
832,dgoai ,don't go on about it
833,dgt ,don't go there
834,dgu ,don't give up
835,dgypiab ,don't get your panties in a bunch
836,dh ,dickhead
837,dhac ,Don't have a clue
838,dhcp ,Dynamic Host Configuration Protocol
839,dhly ,does he like you
840,dhv ,Demonstration of Higher Value
841,diacf ,die in a car fire
842,diaf ,die in a fire
843,diah ,die in a hole
844,dic ,do i care
845,dick ,penis
846,diez ,dies
847,diff ,difference
848,dih ,d**k in hand
849,dikhed ,dickhead
850,diku ,do i know you
851,diky ,Do I know you
852,dil ,Daughter in law
853,dilf ,dad i'd like to f**k
854,dillic ,Do I look like I care
855,dillifc ,do I look like I f**king care
856,dilligad ,do I look like I give a damn
857,dilligaf ,do I look like I give a f**k
858,dilligas ,do i look like i give a s**t
859,din ,didn't
860,din't ,didn't
861,dirl ,Die in real life
862,dis ,this
863,dit ,Details in Thread
864,diy ,do it yourself
865,dju ,did you
866,dk ,don't know
867,dkdc ,"don't know, don't care"
868,dl ,download
869,dlf ,dropping like flies
870,dlibu ,Dont let it bother you
871,dln ,don't look now
872,dm ,deathmatch
873,dmaf ,do me a favor
874,dmba* ,dumbass
875,dmi ,don't mention it
876,dmn ,damn
877,dmu ,don't mess up
878,dmwm ,don't mess with me
879,dmy ,don't mess yourself
880,dn ,don't know
881,dnd ,Do Not Disturb
882,dndp ,Do not double post
883,dnimb ,dancing naked in my bra
884,dnk ,do not know
885,dno ,don't know
886,dnrta ,did not read the article
887,dnrtfa ,did not read the f**king article
888,dns ,Domain Name System
889,dnt ,don't
890,dnw ,Do not want
891,doa ,dead on arrival
892,dob ,date of birth
893,dod ,Day of Defeat
894,dogg ,friend
895,doin ,doing
896,doin' ,doing
897,don ,denial of normal
898,doncha ,Don't you
899,donno ,don't know
900,dont ,don't
901,dontcha ,don't you
902,dood ,dude
903,doodz ,dudes
904,dos ,denial of service
905,dotc ,dancing on the ceiling
906,doypov ,depends on your point of view
907,dp ,display picture
908,dpmo ,don't piss me off
909,dprsd ,depressed
910,dqmot ,don't quote me on this
911,dqydj ,don't quit your day job
912,dr00d ,druid
913,drc ,don't really care
914,drm ,dream
915,drood ,druid
916,dsided ,decided
917,dsu ,don't screw up
918,dt ,double team
919,dta ,Don't Trust Anyone
920,dtb ,don't text back
921,Dtf ,Down to f**k
922,dth ,down to hang
923,dtl ,damn the luck
924,dtp ,Don't Type Please
925,dtrt ,do the right thing
926,dts ,Don't think so
927,dttm ,don't talk to me
928,dttml ,don't talk to me loser
929,dttpou ,Don't tell the police on us
930,dttriaa ,don't tell the RIAA
931,du2h ,damn you to hell
932,ducy ,do you see why
933,dugi ,do you get it?
934,dugt ,did you get that?
935,dui ,driving under the influence
936,duk ,did you know
937,dulm ,do you like me
938,dum ,dumb
939,dun ,don't
940,dunna ,i don't know
941,dunno ,I don't know
942,duno ,don't know
943,dupe ,duplicate
944,dutma ,don't you text me again
945,dvda ,"double vaginal, double anal"
946,dw ,don't worry
947,dwai ,don't worry about it
948,dwb ,Driving while black
949,dwbh ,"don't worry, be happy"
950,dwbi ,Don't worry about it.
951,dwi ,deal with it
952,dwioyot ,Deal With It On Your Own Time
953,dwmt ,don't waste my time
954,dwn ,down
955,dwt ,don't wanna talk
956,dwud ,do what you do
957,dwy ,don't wet yourself
958,dy2h ,damn you to hell
959,dya ,Do you
960,dyac ,damn you auto correct
961,dycotfc ,do you cyber on the first chat
962,dyec ,Don't You Ever Care
963,dygtp ,did you get the picture
964,dyk ,did you know
965,dylh ,do you like him
966,dylm ,do you love me
967,dylos ,do you like oral sex
968,dym ,Do you mind
969,dymm ,do you miss me
970,dynk ,do you not know
971,dynm ,do you know me
972,dyt ,Don't you think
973,dyth ,Damn You To Hell
974,dyw ,don't you worry
975,dyw2gwm ,do you want to go with me
976,dywtmusw ,do you want to meet up some where
977,Idkwtfytb ,I dont know what the f**k you're talking about
978,dept ,department
979,e-ok ,Electronically OK
980,e.g. ,example
981,e4u2s ,easy for you to say
982,eabod ,eat a bag of dicks
983,ead ,eat a d**k
984,ebitda ,"earnings before interest, taxes, depreciation and amortization"
985,ecf ,error carried forward
986,edumacation ,education
987,eedyat ,idiot
988,eejit ,idiot
989,ef ,f**k
990,ef-ing ,f**king
991,efct ,effect
992,effed ,f**ked
993,efffl ,extra friendly friends for life
994,effin ,f**king
995,effing ,f**king
996,eg ,evil grin
997,ehlp ,help
998,eil ,explode into laughter
999,el!t ,elite
1000,eleo ,Extremely Low Earth Orbit
1001,ello ,hello
1002,elo ,hello
1003,em ,them
1004,emm ,email me
1005,emo ,emotional
1006,emp ,eat my p***y
1007,enat ,every now and then
1008,enit ,isn't it
1009,enof ,enough
1010,enuf ,enough
1011,enuff ,enough
1012,eob ,End of Business
1013,eoc ,end of conversation
1014,eod ,End of day
1015,eof ,end of file
1016,eom ,end of message
1017,eos ,end of story
1018,eot ,end of transmission
1019,eotw ,end of the world
1020,epa ,Emergency Parent Alert
1021,eq ,Everquest
1022,eq2 ,Everquest2
1023,ere ,here
1024,errythang ,Everything
1025,errythin ,everything
1026,esad ,eat s**t and die
1027,esadyffb ,eat s**t and die you fat f**king b*****d
1028,esbm ,Everyone sucks but me
1029,esc ,escape
1030,esl ,eat s**t loser
1031,eta ,Estimated Time of Arrival
1032,etla ,extended three letter acronym
1033,etmda ,Explain it to my dumb ass
1034,etp ,eager to please
1035,eula ,end user license agreement
1036,ev1 ,everyone
1037,eva ,ever
1038,evaa ,ever
1039,evar ,ever
1040,evercrack ,Everquest
1041,every1 ,everyone
1042,evn ,even
1043,evr ,ever
1044,evry ,every
1045,evry1 ,every one
1046,evrytin ,everything
1047,ex-bf ,Ex-Boy Friend
