User Rating,User Review,User Name,Review Date,DateOfReview,FinalText,FinalTextSentiment,UserReviewSentiment
5.0,"First Thing first ...Delivery was very fast and on time within 2 days .      Now The Product is very Good we can say it worth for a single penny which you spend for this product, The Plastic quality is very good With high power Motor of 750w. The Wars which they provide is Best in Price......       Thank you Flipkart for this Good Product .....,",Shivam  Dwivedi ,"May, 2019",2019-05-02,First Thing first Delivery fast time within 2 day Now The Product Good say worth single penny spend product The Plastic quality good With high power Motor 750w The Wars provide Best Price Thank Flipkart Good Product,pos,pos
5.0,"very good mixer. I got it for 2400 on big billion day. the quality is very nice. looks pourable. look is nice. delivered safely and nicely. one is for dry other for wet. and small one can be roused for both. and one is juice grinder which personally loved. grinder is 2 bladed, rest all are single bladed. it is not that loud bout yeah you get the sound like all other grinder.",Vinay Customer,9months ago,2019-11-02,good mixer I get 2400 big billion day quality nice look pourable look nice deliver safely nicely one dry wet small one rouse one juice grinder personally love grinder 2 bladed rest single bladed loud bout yeah get sound like grinder,pos,pos
5.0,super product on this rate only the plastic quality is bit low other than everything is fine and am happy with it thank you flipkart,Flipkart Customer,9months ago,2019-11-02,super product rate plastic quality bit low everything fine happy thank flipkart,pos,pos
5.0,nice quality invar perfect super product I am happy,Flipkart Customer,9months ago,2019-11-02,nice quality invar perfect super product I happy,pos,pos
5.0,"Too Good, it is been almost a month I have been using this juicer mixer.design5* speed 5* sound4* (I know it cannot be silent but still) the best part is juicer it hardly takes 2 seconds to get pure fruits juice... amazing...me and my kids are loving it.worth it.i will recommend this to anyone who wants good power mixer with juicer but in reasonable price...this is for them.Thank you Butterfly rapid.",Sheetal Khandagale,6months ago,2020-02-02,Too Good almost month I use juicer mixer design5 speed 5 sound4 I know silent still best part juicer hardly take 2 second get pure fruit juice amaze kid love worth recommend anyone want good power mixer juicer reasonable price Thank Butterfly rapid,pos,pos
5.0,wow ! Super very nice heartly satisfied i gifted to my parents they really happy because in my childhood itself they used this company mix butterfly more than 20 years without any repair it too old now  again come back........,Flipkart Customer,8months ago,2019-12-02,wow Super nice heartly satisfy gift parent really happy childhood use company mix butterfly 20 year without repair old come back,pos,pos
5.0,Wow very good product thank you  Flipkart mene use kiyi very quick wark Wow i am happy,Flipkart Customer,6months ago,2020-02-02,Wow good product thank Flipkart mene use kiyi quick wark Wow happy,pos,pos
5.0,"Nice product And value for moneyReally Speed motor, Takes masala within 5 minutes,Juicer also nice and everything at affordable price.Really satisfied with this product The butterfly mixer which is actually like butterfly Simple cute and not even Heavy...Thanks Flipkart for this delivery...Wonderful Thing️",Kartik Parate,23days ago,2020-07-10,Nice product And value moneyReally Speed motor Takes masala within 5 minute Juicer also nice everything affordable price Really satisfy product The butterfly mixer actually like butterfly Simple cute even Heavy Thanks Flipkart delivery Wonderful Thing,pos,pos
5.0,"Pros:-   Product built quality is very good and strong       All the components are very strong and anyone can easily open and close it, they not  so tight, weight of the mixer is very low easily portable                                      ON  :-    mixer sometimes get heat up",Flipkart Customer,8months ago,2019-12-02,Pros Product build quality good strong All component strong anyone easily open close tight weight mixer low easily portable ON mixer sometimes get heat,pos,pos
5.0,The quality is best .our author company for value of money. Mutter sound better for bajan mixer.but steel jar is medium. Pus improved jar quality  . Pus every family person purchase this product  .thank flipkraft thank butter fly company. So god,Kuddus  Mandal,8months ago,2019-12-02,The quality best author company value money Mutter sound well bajan mixer steel jar medium Pus improve jar quality Pus every family person purchase product thank flipkraft thank butter fly company So god,pos,pos
4.0,We opened product bought just one week ago.  Used one jar only once.  So far looks great.  Good sturdy package and nice shipping.    We hope Butterfly will be durable.   Five stars for price and delivery to flipkart/seller.  Will use more to know performance.,Rambabu Chenna,1month ago,2020-07-02,We open product buy one week ago Used one jar So far look great Good sturdy package nice shipping We hope Butterfly durable Five star price delivery flipkart seller Will use know performance,pos,pos
4.0,"Better for juicing, awesome for grinding both wet and dry spices. More frequent motor with three speed 1,2,3,along with whip. More suitable for a newly user and more attractive in shows",Raskendra  Bihari,9months ago,2019-11-02,Better juicing awesome grind wet dry spice More frequent motor three speed 1 2 3 along whip More suitable newly user attractive show,pos,pos
5.0,hi Flipkart is butterfly pixie very good motor condition grander juice almost good Flipkart quality very very nice wonderful thank you Flipkart I give 5 star,Shaik Khader,"Jul, 2019",2019-07-02,hi Flipkart butterfly pixie good motor condition grander juice almost good Flipkart quality nice wonderful thank Flipkart I give 5 star,pos,pos
5.0,"Really a good product , it grinds really fast and the noise generated is minimum , to mention a negative aspect , the dry grind jar's lid is poorly designed it breaks easily , even if you open it with at most care , but it grinds even the toughest things like dry turmeric into a nice powder .Overall performance is excellent , I will surely recommend this product.  P.s I am writing this review after using the product for almost 8 months.",KASI VISWANATHAN,1month ago,2020-07-02,Really good product grind really fast noise generate minimum mention negative aspect dry grind jar lid poorly design break easily even open care grind even tough thing like dry turmeric nice powder Overall performance excellent I surely recommend product P I write review use product almost 8 month,pos,pos
5.0,Ahi tak use nail Kiyi bat product is weri good woman..Sam small scratch in user..bat good I like it......I love it very very nice juicer ....I lovee it ...I lovee you flipkart .Reenact,Reenaaz Shaikh,2months ago,2020-06-02,Ahi tak use nail Kiyi bat product weri good woman Sam small scratch user bat good I like I love nice juicer I lovee I lovee flipkart Reenact,pos,pos
4.0,"Nice product. But the led for medium jar is plastic. Other then that it is a very good product. That color, shape everything is perfect ",Flipkart Customer,4months ago,2020-04-02,Nice product But lead medium jar plastic Other good product That color shape everything perfect,pos,pos
5.0,wonder full item. Need Bottom support to be improve with more robust design.,Hari Ganesh,7months ago,2020-01-02,wonder full item Need Bottom support improve robust design,pos,pos
5.0,Product is very good but delivery is very poor i receive the product form delivery courier by physically visit. after the payment of delivery charges also product is very price worth and working as i need. less noise awesome work overall everything is perfect in this price range.Flipkart i request to improve the delivery of product please send product to your e-kart logistic so we can get our product on door step .even that after receiving my product from delivery courier center in my ord...,Bhanu Partap Singh,8months ago,2019-12-02,Product good delivery poor receive product form delivery courier physically visit payment delivery charge also product price worth working need less noise awesome work overall everything perfect price range Flipkart request improve delivery product please send product e kart logistic get product door step even receive product delivery courier center ord,pos,pos
4.0,Nice one with good quality in affordable price. Wars were good and motor is strong. You can go for it ,Panchada Mohanarao,9months ago,2019-11-02,Nice one good quality affordable price Wars good motor strong You go,pos,pos
4.0,"Safely packed Excellent product by butterfly, i gifted it to my mom and she is really satisfied with the quality of the product.Don’t know about the life, comparing it with the previous Meet Mixer which was almost 25yrs old and still working.Thank you Flipkart and butterfly.",Sumeeth Suresh,10months ago,2019-10-02,Safely packed Excellent product butterfly gift mom really satisfied quality product Don know life compare previous Meet Mixer almost 25yrs old still work Thank Flipkart butterfly,pos,pos
5.0,Its cool I loved the design N its working in good conditionEverything is good,Flipkart Customer,23days ago,2020-07-10,Its cool I love design N working good conditionEverything good,pos,pos
5.0,Product is very good.. I like it.. quality is good..  it is is grinding very fast in just seconds..  has it has high motor... Very good product..,Shirish,29days ago,2020-07-04,Product good I like quality good grind fast second high motor Very good product,pos,pos
4.0,"Overall good but still cost could be low and delivery could be improved cum faster. Good side:Material is tough and goodcandtaianders fiance.Less noisy.Good grip.Smooth grianddiandg Shindy outlook Easy movement Best for 5-6 people familyCaand Improve:Cost of product could be lowAdditiandal relevant stuff could add like juice glasses, spoon, picker.Fast deliveryAll are based and wand experience, still you may review and proceed for selectiand.",Rajkumar Baraskar,1month ago,2020-07-02,Overall good still cost could low delivery could improve cum faster Good side Material tough goodcandtaianders fiance Less noisy Good grip Smooth grianddiandg Shindy outlook Easy movement Best 5 6 people familyCaand Improve Cost product could lowAdditiandal relevant stuff could add like juice glass spoon picker Fast deliveryAll base wand experience still may review proceed selectiand,pos,pos
5.0,"I am writing this review after 15 day use. First of all, let me tell you that the product is quite cheaper when compared to its counterpart. And the feather in cap is the Juicer pot which work exactly what it intended to. The three plain old telephone service are made up of stainless steel body. Heavy 750 Watt motor will make grinding within few seconds. The power cord is long enough to perform operations away from power switch. Overall I am happy with the purchase.",Chaitanya Borkar,1month ago,2020-07-02,I write review 15 day use First let tell product quite cheap compare counterpart And feather cap Juicer pot work exactly intend The three plain old telephone service make stainless steel body Heavy 750 Watt motor make grinding within second The power cord long enough perform operation away power switch Overall I happy purchase,pos,pos
5.0,The mixer is very stylish and it has a shiny black colour and yeah I loved it thank you flipkart,Flipkart Customer,1month ago,2020-07-02,The mixer stylish shiny black colour yeah I love thank flipkart,pos,pos
5.0,Very nice product . As same as shown in the image. Works nicely .it is value for money and it has a very good motor and it is a stylish product.You can buy this product . Quality is very good .I love this product and I will recommend you to buy this,Flipkart Customer,1month ago,2020-07-02,Very nice product As show image Works nicely value money good motor stylish product You buy product Quality good I love product I recommend buy,pos,pos
5.0,EXCELLENT AND GOOD PACKAGING......IT HAVE A POWERFUL MOTOR AND SOL VERY GOOD  IN LOOK 5 STAR,Ankit Yadav,1month ago,2020-07-02,EXCELLENT AND GOOD PACKAGING IT HAVE A POWERFUL MOTOR AND SOL VERY GOOD IN LOOK 5 STAR,pos,pos
4.0,Awesome butterfly mixer grinder awesome quality awesome use all jar very good and juicer also good I am very happy with this purchasing,Rajan Kumar,2months ago,2020-06-02,Awesome butterfly mixer grinder awesome quality awesome use jar good juicer also good I happy purchasing,pos,pos
5.0,I really loved it and juicers is to good it grinds to fast it’s a very nice product.,Flipkart Customer,5months ago,2020-03-02,I really love juicer good grind fast nice product,pos,pos
5.0,best and best. best quality and good work . this my daily helper . go for it 101% satisfied,Kumarsen Azad,6months ago,2020-02-02,best best best quality good work daily helper go 101 satisfy,pos,pos
4.0,The product is good but not the best. I feel the quality of the product is not as expected. The material used to make the product and it is jars is plastic and is very thin so the probability of the product lasting depends on the careful usage of it. The motor of this mixer is powerful I like it. Overall at an affordable rate you get a moderately good juicer mixer.,Sharath  S,6months ago,2020-02-02,The product good best I feel quality product expect The material use make product jar plastic thin probability product last depends careful usage The motor mixer powerful I like Overall affordable rate get moderately good juicer mixer,pos,pos
4.0,Good Performance hot time se flipkart any much upset oriya the much 3 product refund kranz made but I am impress now this product is really very good I got it Rs.2849.,Gazala  Parveen ,7months ago,2020-01-02,Good Performance hot time se flipkart much upset oriya much 3 product refund kranz make I impress product really good I get Rs 2849,pos,pos
4.0,"The mixer works absolutely fine. Just a bit disappointed with the lid of the jars. One of the lid is plastic without rubber, would have been happy to have transparent plastic lid. Overall it is a good product.",Flipkart Customer,7months ago,2020-01-02,The mixer work absolutely fine Just bit disappointed lid jar One lid plastic without rubber would happy transparent plastic lid Overall good product,neg,pos
5.0,really a great and good product and cheapest price I won it works really awesome the quality of the product is really wow,Flipkart Customer,8months ago,2019-12-02,really great good product cheap price I work really awesome quality product really wow,pos,pos
5.0,excellent motor is so fast jar are good over all nice,Flipkart Customer,8months ago,2019-12-02,excellent motor fast jar good nice,pos,pos
5.0,SIMPLY AWESOME awesome product thank you butterfly good finishing loved good delivery thanks to flipkart good choice at this price segment go for it,Mani Marana,8months ago,2019-12-02,SIMPLY AWESOME awesome product thank butterfly good finishing love good delivery thanks flipkart good choice price segment go,pos,pos
5.0,Nice one worth for money very nice product I am happy thank you Flipkart,RAMESH GOUNDER,10months ago,2019-10-02,Nice one worth money nice product I happy thank Flipkart,pos,pos
4.0,The product has been Good and grinds items very fine and fast too. Happy with the product.Only once its jar became very very hot within use of minutes (Dont know the reason for it) but it never happened again.,Sandeep Shettigar,11months ago,2019-09-02,The product Good grind item fine fast Happy product Only jar become hot within use minute Dont know reason never happen,pos,pos
4.0,it is pretty easy safe and happy,ahamed shaik,11months ago,2019-09-02,pretty easy safe happy,pos,pos
5.0,Beautiful product. Added beauty to the kitchen. Works well. Thanks Flipkart for the wonderful package.,Rev D CHARLES DEVA PRABAKAR,"Jul, 2019",2019-07-02,Beautiful product Added beauty kitchen Works well Thanks Flipkart wonderful package,pos,pos
3.0,"Good design.. different colour options would have been better.. loud noise, double the sound of my existing Coma mixer.. sometimes the vibration is too high.. it is a good deal for the price point.. but I would recommend to go for any other stable brand mixer..",Prashant Pillai,"Jul, 2019",2019-07-02,Good design different colour option would good loud noise double sound exist Coma mixer sometimes vibration high good deal price point I would recommend go stable brand mixer,pos,pos
4.0,Grinding is very fast and smooth. But only one thing more noise. But has to purchase this jug. Very nice product. And flipkart taken only 1day to deliver its very fast delivery.Than flipkart to giving this good product.,Neelima Shashidhar,"Jun, 2019",2019-06-02,Grinding fast smooth But one thing noise But purchase jug Very nice product And flipkart take 1day deliver fast delivery Than flipkart give good product,pos,pos
4.0,"stylish product... I liked it personally... but one default I have seen is we can run it only in maximum speed ,may be only in my product ... lower speeds are not working ...over Al it is a good one.. delivery was also quiet fast...",Chaithra Shriyan,8months ago,2019-12-02,stylish product I like personally one default I see run maximum speed may product low speed work Al good one delivery also quiet fast,pos,pos
5.0,Very good packing neat and very satisfied. I just love it.nice Colour very handy awesome ,Sapna Senthil Kumar ,1month ago,2020-07-02,Very good packing neat satisfied I love nice Colour handy awesome,pos,pos
4.0,"Very nice according to my wife who is a kitchen expert. The motor is powerful only the plastic lids are of minimum thickness. Very nice product in this price range, good value for money. Also the outer plastic body is of mediocre quality, very often there are problems with reset switch.",Hemanth Kumar,8months ago,2019-12-02,Very nice accord wife kitchen expert The motor powerful plastic lid minimum thickness Very nice product price range good value money Also outer plastic body mediocre quality often problem reset switch,pos,pos
5.0,Good powerful product. Elegant. Packing was a bit ordinary and can be improved. However in this covid era one should not expect a better delivery than this.,Anupam Suresh  Gulwadi,14days ago,2020-07-19,Good powerful product Elegant Packing bit ordinary improve However covid era one expect good delivery,pos,pos
5.0,"Excellent...Love it , strong jar ,  powerful motor,  better than other brand like lips, Prestige etc. Value for money in this price Rs2650 .",MAHESH CHANDRA CHAUDHARY,15days ago,2020-07-18,Excellent Love strong jar powerful motor well brand like lip Prestige etc Value money price Rs2650,pos,pos
4.0,Product is good especially design is very attractive and worth your money but juicer could be more better. Over-all great product,amit dwivedi,18days ago,2020-07-15,Product good especially design attractive worth money juicer could good Over great product,pos,pos
5.0,"Really a very good product, if you too like to take juices separately like me then this is for you. I bought it at Flipkart Kitchen Sale for Rs 2400. Which was a really amazing deal.Its quality is excellent as well as easy to operate. If you want a better option then this is for you.",ABHISHEK SAINI,21days ago,2020-07-12,Really good product like take juice separately like I buy Flipkart Kitchen Sale Rs 2400 Which really amazing deal Its quality excellent well easy operate If want good option,pos,pos
5.0,"Good product and mixy jar, juicer jar are excellent super nice product",Flipkart Customer,22days ago,2020-07-11,Good product mixy jar juicer jar excellent super nice product,pos,pos
5.0,Very good quality compared to other diapers. Price is too competitive. My daughter likes to wear this diaper. The most loving part for me is that A qualitative product MADE IN NIA.,AJAD SINGH MANGARAJ,22days ago,2020-07-11,Very good quality compare diaper Price competitive My daughter like wear diaper The loving part A qualitative product MADE IN NIA,pos,pos
4.0,Great look with great work ..We are so much happy to buy this product,Aayush Kumar ,23days ago,2020-07-10,Great look great work We much happy buy product,pos,pos
4.0,"Over all good product at this price range.Does the job and hookwise aesthetically pleasing..!However, can be even better and more strongly built (when compared to prestige within same price range).. jars can be little big too..",Garima Pandey,26days ago,2020-07-07,Over good product price range Does job hookwise aesthetically please However even good strongly build compare prestige within price range jar little big,pos,pos
5.0,Good product... Value for money.... Working in good condition.. Good speed and rpm.. Powdering and batter making is easy.... In less time.. We can make butter from milk cream satisfied... This review is after one month,Dr. Joies Joseph,29days ago,2020-07-04,Good product Value money Working good condition Good speed rpm Powdering batter making easy In less time We make butter milk cream satisfy This review one month,pos,pos
5.0,Awesome product and fastest delivery please go through this product cause Butterfly is indian company ao support it i was purchase 2nd product of butterfly so it is great and awesome do not think in this price range is good .....And thank you so much flipkart i love you flipkart another indian company ......,Sandipsinh Solanki,29days ago,2020-07-04,Awesome product fast delivery please go product cause Butterfly indian company ao support purchase 2nd product butterfly great awesome think price range good And thank much flipkart love flipkart another indian company,pos,pos
4.0,Super nice mix also very beautiful nice colors,Flipkart Customer,1month ago,2020-07-02,Super nice mix also beautiful nice color,pos,pos
5.0,Spectacular product with a very decent look..& it is light weight too.. Moved it!! my gumma is so much happy with it!! Thank you flipkart..,Samiksha  Patekar ,1month ago,2020-07-02,Spectacular product decent look light weight Moved gumma much happy Thank flipkart,pos,pos
5.0,Very best product  we love flipkart      thank for good delivery  ten outfits ten,Regent George,1month ago,2020-07-02,Very best product love flipkart thank good delivery ten outfit ten,pos,pos
5.0,"VERY GOOD PRODUCT ,,,IT WILL GRINDE WELL AND HIGH POWER OF TAR AND FOUR ARS AND GOOD AND NICE COLOUR",Vinodh Yadhav,1month ago,2020-07-02,VERY GOOD PRODUCT IT WILL GRINDE WELL AND HIGH POWER OF TAR AND FOUR ARS AND GOOD AND NICE COLOUR,pos,pos
5.0,Powerful Grinder and Good quality and Capacity of jars... It has overload protection as well.. Good product from Butterfly ,KANHAIYA JI,1month ago,2020-07-02,Powerful Grinder Good quality Capacity jar It overload protection well Good product Butterfly,pos,pos
5.0,Superb such nice mixer better than other one I bought from flipkart thank you Flipkart to send me finally nice product now please sort out my television installation :(,Fardeen  Khan,1month ago,2020-07-02,Superb nice mixer well one I buy flipkart thank Flipkart send finally nice product please sort television installation,pos,pos
5.0,"Best quality man. Excellent product. Very good color and rich look. Moved the juicer. Worth every penny. Bought it at 2,815/-",Muchakarla Rohith satya nivas,1month ago,2020-07-02,Best quality man Excellent product Very good color rich look Moved juicer Worth every penny Bought 2 815,pos,pos
4.0,Design looks good and quality as well.. Works fine till now.. Have given 4 star because of the quality of the product.. Need to focus on manufacturing with fine quality.. Overall it is quite worth the money...,David Sam,1month ago,2020-07-02,Design look good quality well Works fine till Have give 4 star quality product Need focus manufacturing fine quality Overall quite worth money,pos,pos
5.0,"Good product and nice for the home use and best at this price and motor is enough fast for quick grinding, blending and for mixing. Go for it without any doubt I submit my review after using 2 weeks works well and look great and quality of mixer jars comes along with it is very nice any heavy not light material and main unit body is also good and durable go for it if you plan to buy it.",Flipkart Customer,1month ago,2020-07-02,Good product nice home use best price motor enough fast quick grinding blending mix Go without doubt I submit review use 2 week work well look great quality mixer jar come along nice heavy light material main unit body also good durable go plan buy,pos,pos
5.0,It is working super in this price I recommend this juicer also available nice one,soma Ramesh,1month ago,2020-07-02,It work super price I recommend juicer also available nice one,pos,pos
5.0,Very nice and swift delivery by flipkart. Nicely packed without any scratches. Tried blending few things and it is awesome. Highly recommended considering the value for money.,Shibu Babu,1month ago,2020-07-02,Very nice swift delivery flipkart Nicely pack without scratch Tried blend thing awesome Highly recommend consider value money,pos,pos
4.0,"Product is good but juicer is not good , i am not satisfied withtee juicer, if your want buy this product for juice purpose then it is totally wastage of money, But for other purposes it is good",Flipkart Customer,1month ago,2020-07-02,Product good juicer good satisfied withtee juicer want buy product juice purpose totally wastage money But purpose good,pos,neu
5.0,"The Butterfly Smart 750 Watt Mixer Grinder with jars and sleek finish,The quality of materials it is very good and strong also it has 750 words with strong motor which can be use for Grinder the hard food item This is very recommendable product",Sneha Subhash,1month ago,2020-07-02,The Butterfly Smart 750 Watt Mixer Grinder jar sleek finish The quality material good strong also 750 word strong motor use Grinder hard food item This recommendable product,pos,pos
5.0,WowDesign is so beautiful. Amazing design and very nice product. This mixer is price worth. Great purchasing for me. And just Amazing delivery and delivery person behavior is so good. Am happy.,Flipkart Customer,1month ago,2020-07-02,WowDesign beautiful Amazing design nice product This mixer price worth Great purchasing And Amazing delivery delivery person behavior good Am happy,pos,pos
4.0,"It was awesome and working well but I received defected piece as first after replacement I got good one so finally happy with flipkart.,",Soma Naidu,1month ago,2020-07-02,It awesome work well I receive defected piece first replacement I get good one finally happy flipkart,pos,pos
4.0,"This one is satisfied with the rate and performance, but the jar's cap is not tight as much when you start the pressure makes the jar's cap open automatically. For better grinder whether dry/wet you should stay with your mixer with one hand on the top of the jar.",Flipkart Customer,1month ago,2020-07-02,This one satisfy rate performance jar cap tight much start pressure make jar cap open automatically For good grinder whether dry wet stay mixer one hand top jar,pos,pos
5.0,"Really good product from butterfly for who need the best with lowest price and its working with noiseless, i like that. finally the designs its superb, many people asking me like where you brought this and its looking after seeing the unit so....",Flipkart Customer,1month ago,2020-07-02,Really good product butterfly need best low price work noiseless like finally design superb many people ask like bring look see unit,pos,pos
5.0,One of the best mixture juicer grinder I buried.. Top Quality of the jar and Juicer Wars and.  The Main Motor also is very good...  Good job Butterfly  and flipkart.   The courier Delivery service in this lockdown time is very fast,Aadarsh Talokar,1month ago,2020-07-02,One best mixture juicer grinder I bury Top Quality jar Juicer Wars The Main Motor also good Good job Butterfly flipkart The courier Delivery service lockdown time fast,pos,pos
5.0,"How such a good product from flipkart as per quality , design. latest technology included. Which came up with 4 jars in very good working condition with load balancing option. To compare with other brands in the market this is the better one. So, friends I recommend this product for you.Thanks flipkart",Rakesh Mukkera,1month ago,2020-07-02,How good product flipkart per quality design late technology include Which come 4 jar good work condition load balance option To compare brand market good one So friends I recommend product Thanks flipkart,pos,pos
3.0,"The mixer grinder was okay and the 750w is enough to grind the minimum load. but when we talking about the jars after 3 days of usage, 3 of these jars doing well except white capped jar. white cap of the jar is not fitting properly. it will jumped out when we press to fit. We have to press by hand when we using this jar. But for this price total worth it.",Flipkart Customer,1month ago,2020-07-02,The mixer grinder okay 750w enough grind minimum load talk jar 3 day usage 3 jar well except white cap jar white cap jar fit properly jump press fit We press hand use jar But price total worth,pos,pos
5.0,It's a wonderful product great power really pretty and very helpful. Go for it. It's been a year since we bought it and are happy with our purchase,Natasha,2months ago,2020-06-02,It wonderful product great power really pretty helpful Go It year since buy happy purchase,pos,pos
4.0,Its excellent to use .. I am impressed to use this product thank you for wonderful offer,Flipkart Customer,4months ago,2020-04-02,Its excellent use I impressed use product thank wonderful offer,pos,pos
5.0,wow I love it... super fast delivery thank you Flipkart,Flipkart Customer,4months ago,2020-04-02,wow I love super fast delivery thank Flipkart,pos,pos
4.0,Good productJuicer is also good as well as noise is better as compared to normal 500 watt mixersOverall good mixer if you are getting it around 2700 to 2900,Abhishek Kumar,4months ago,2020-04-02,Good productJuicer also good well noise well compare normal 500 watt mixersOverall good mixer get around 2700 2900,pos,pos
3.0,Pros - as mentioned by many coming to cons - - the steel thickness in jars is thin .Blades are not having any teeth like structure but flat plates- it takes more time to get batter for dosa than my old 400 watt mix- masala jar is good and makes less noise- bigger jars  make so much noise like rice mills,Anil nanda,5months ago,2020-03-02,Pros mention many come con steel thickness jar thin Blades teeth like structure flat plate take time get batter dosa old 400 watt mix masala jar good make less noise big jar make much noise like rice mill,pos,pos
5.0,Nice very nice very very nice very very very nice,Flipkart Customer,5months ago,2020-03-02,Nice nice nice nice,pos,pos
5.0,Thanks to flipkart for such a beautiful mixer.It works good am using it since 6 months.Low Noise. Worth to cost,Flipkart Customer,5months ago,2020-03-02,Thanks flipkart beautiful mixer It work good use since 6 month Low Noise Worth cost,pos,pos
5.0,I used this from last 5 months it was pretty good Value for money I can suggest you in this budget this was a best product you can buy thank you flipkart,Mohammed Ghouse,5months ago,2020-03-02,I use last 5 month pretty good Value money I suggest budget best product buy thank flipkart,pos,pos
5.0,Its awesome product thank you flipkartService is nice thank you so much,Flipkart Customer,5months ago,2020-03-02,Its awesome product thank flipkartService nice thank much,pos,pos
4.0,product is good packing is good and works very well also value for money and delivery was on time,Anandaraj Astro,5months ago,2020-03-02,product good packing good work well also value money delivery time,pos,pos
5.0, Really Amazing  product  good package and good product qu Flipkart & seller  I am very happy ,Dinesh V,6months ago,2020-02-02,Really Amazing product good package good product qu Flipkart seller I happy,pos,pos
4.0,This mixer grinder was superb and fantastic. Built quality or designs everything perfect I am loving this product. I recommend to everyone purchase this product,Ramya ranjan Mishal,6months ago,2020-02-02,This mixer grinder superb fantastic Built quality design everything perfect I love product I recommend everyone purchase product,pos,pos
5.0,awesome product very helpful and wonderful superb I love this product thank you tipcart ,Flipkart Customer,6months ago,2020-02-02,awesome product helpful wonderful superb I love product thank tipcart,pos,pos
5.0,Very nice &  useful  product I recommended this item thanks flipkart best best best every body should be happy to take.....,P premanand ,6months ago,2020-02-02,Very nice useful product I recommend item thank flipkart best best best every body happy take,pos,pos
5.0,Best mixer till now for me Excellent options with jarsMotor super Built quality v good Overall fully satisfied,Anandappan Chakravarthy,6months ago,2020-02-02,Best mixer till Excellent option jarsMotor super Built quality v good Overall fully satisfy,pos,pos
5.0,good pixie well showing matching the beautiful best of the butterfly pixie good,Flipk Customer,6months ago,2020-02-02,good pixie well show match beautiful best butterfly pixie good,pos,pos
